,x
5711,-0.75
5712,-1
5713,0.75
5714,-0.6
5715,0
5716,0
5717,-0.25
5718,0
5719,-1.25
5720,-0.8
5721,-0.75
5722,0.1
5723,0
5724,1
5725,-1.25
5726,-1.5
5727,-1
5728,0
5729,1.05
5730,-1
5731,0
5732,1
5733,0.25
5734,0.1
5735,0
5736,0
5737,-1.5
5738,0
5739,0
5740,0.25
5741,0
5742,1
5743,0
5744,0.4
5745,0
5746,-1
5747,-0.75
5748,1
5749,-1
5750,-0.25
5751,0.6
5752,-0.75
5753,-0.25
5754,0
5755,-3.85
5756,0.4
5757,0.1
5758,-2.65
5759,0.1
5760,0
5761,0
5762,2.05
5763,0
5764,-0.8
5765,0
5766,-1.75
5767,0
5768,0.5
5769,0
5770,1.3
5771,0
5772,-0.05
5773,-0.25
5774,0
5775,-0.4
5776,-1.25
5777,0
5778,-2.9
5779,-0.3
5780,-0.4
5781,-1.55
5782,0.4
5783,0
5784,-0.75
5785,-0.75
5786,-0.6
5787,1.05
5788,-1.25
5789,0.5
5790,-0.35
5791,-1.25
5792,-1.5
5793,0
5794,-0.25
5795,0.6
5796,-0.75
5797,1.4
5798,0.9
5799,0
5800,0.1
5801,-0.25
5802,-1.25
5803,0.1
5804,0
5805,-1.25
5806,-1
5807,0
5808,0
5809,2.4
5810,0
5811,0
5812,0
5813,-0.25
5814,-0.75
5815,-0.25
5816,-0.25
5817,-0.4
5818,-0.75
5819,-0.25
5820,-1
5821,0
5822,-1.25
5823,0
5824,-0.75
5825,0
5826,0
5827,-0.25
5828,0
5829,0.75
5830,0.5
5831,-0.5
5832,0.25
5833,0
5834,0.25
5835,0
5836,0
5837,-0.5
5838,0
5839,0.4
5840,-0.25
5841,1
5842,-0.85
5843,0
5844,0
5845,0
5846,-0.75
5847,0
5848,0
5849,-1.25
5850,0
5851,-0.75
5852,0
5853,1.45
5854,0
5855,0.4
5856,-0.75
5857,-0.75
5858,0.25
5859,0.1
5860,-0.5
5861,-1
5862,-0.5
5863,-0.5
5864,0
5865,-0.25
5866,-0.75
5867,0.25
5868,0
5869,0.6
5870,-1.55
5871,-0.35
5872,-0.3
5873,0.9
5874,-0.5
5875,-0.25
5876,0
5877,0
5878,0
5879,0.75
5880,-0.25
5881,-1
5882,0
5883,0.75
5884,0
5885,0
5886,0
5887,0
5888,0
5889,-0.5
5890,-1.6
5891,0
5892,0.25
5893,0
5894,0.9
5895,-1.5
5896,0
5897,0
5898,0
5899,-1.75
5900,-3
5901,-1.3
5902,0.5
5903,-1
5904,0
5905,0
5906,1
5907,-0.8
5908,0
5909,-0.75
5910,-0.6
5911,0
5912,1.05
5913,0.4
5914,0.5
5915,0
5916,0
5917,-0.8
5918,-1
5919,0.15
5920,0
5921,0
5922,0.7
5923,-0.25
5924,0
5925,0.75
5926,-0.25
5927,0
5928,0
5929,0
5930,0
5931,0.75
5932,0
5933,0
5934,-1
5935,0.25
5936,-2.55
5937,-1.25
5938,-0.25
5939,0.15
5940,1.25
5941,-0.75
5942,-1.5
5943,-0.25
5944,0
5945,1.3
5946,0.25
5947,-0.6
5948,0
5949,0.4
5950,0.5
5951,-0.8
5952,1
5953,0.9
5954,1
5955,0
5956,0
5957,-1
5958,1.2
5959,-0.75
5960,0
5961,-1.5
5962,-1.5
5963,0
5964,0.6
5965,0
5966,0.25
5967,0.45
5968,0.15
5969,-0.5
5970,-0.5
5971,0
5972,0.25
5973,-0.35
5974,-1.5
5975,0.25
5976,0.25
5977,0
5978,0.1
5979,0
5980,0
5981,0
5982,0
5983,0
5984,0
5985,0.1
5986,0
5987,0
5988,0
5989,1
5990,-2.15
5991,0.6
5992,0.75
5993,-0.85
5994,0
5995,0
5996,0
5997,1.7
5998,0
5999,0
6000,-0.15
6001,-0.25
6002,0.4
6003,-0.75
6004,0.5
6005,-0.8
6006,-0.75
6007,-0.25
6008,-1
6009,-1.8
6010,-1
6011,0.85
6012,0
6013,0
6014,-0.8
6015,0
6016,0.6
6017,-0.85
6018,1.3
6019,0.75
6020,0.5
6021,0
6022,0
6023,0
6024,0.8
6025,0
6026,0.75
6027,-0.6
6028,-0.75
6029,-0.5
6030,-0.65
6031,0.75
6032,1.3
6033,0.15
6034,0
6035,1.3
6036,0
6037,0
6038,-1
6039,-0.25
6040,1
6041,2.4
6042,-1
6043,0.25
6044,-0.6
6045,0
6046,0
6047,-1.25
6048,-0.6
6049,-1.6
6050,-1.5
6051,0.75
6052,-1.55
6053,0.5
6054,-0.25
6055,0.5
6056,1.4
6057,1.25
6058,-1.25
6059,0
6060,-0.5
6061,-1.5
6062,-1
6063,-0.6
6064,0.15
6065,0.9
6066,0
6067,1
6068,-1.25
6069,-0.75
6070,-0.75
6071,-0.25
6072,0.5
6073,-0.75
6074,0.5
6075,-1.25
6076,0.75
6077,0
6078,-2.25
6079,-0.5
6080,0.4
6081,0.6
6082,0
6083,-1.55
6084,0.5
6085,0
6086,0.5
6087,0
6088,-0.75
6089,0.75
6090,0
6091,-2.4
6092,0
6093,0
6094,-0.75
6095,-1
6096,0
6097,0
6098,0.1
6099,0
6100,0.8
6101,0
6102,-0.25
6103,0
6104,0
6105,0
6106,-0.1
6107,-0.6
6108,0.1
6109,0
6110,0
6111,0.75
6112,-0.25
6113,0
6114,1
6115,1.55
6116,0
6117,0
6118,1
6119,1.75
6120,0
6121,1
6122,0
6123,-0.5
6124,0
6125,0.5
6126,-0.25
6127,-0.8
6128,-0.5
6129,0
6130,0
6131,2.35
6132,-3.15
6133,1.05
6134,-0.75
6135,-0.25
6136,0.1
6137,0
6138,0
6139,1
6140,0.05
6141,-0.5
6142,0
6143,0
6144,-0.25
6145,0
6146,-0.25
6147,-0.75
6148,0.1
6149,-1
6150,0
6151,1.75
6152,-0.5
6153,-0.25
6154,1.55
6155,-1.5
6156,0
6157,-0.6
6158,0.55
6159,1.05
6160,-0.5
6161,-0.85
6162,0
6163,0.1
6164,0.1
6165,-3.15
6166,-0.25
6167,-0.5
6168,0.9
6169,1.25
6170,0.4
6171,-0.35
6172,-0.3
6173,0.15
6174,0
6175,0.1
6176,-1.25
6177,-0.15
6178,-0.25
6179,0
6180,-0.35
6181,0.5
6182,1.05
6183,0
6184,-1.25
6185,1.4
6186,1.55
6187,-0.7
6188,-1
6189,1
6190,-0.2
6191,-4.1
6192,0.5
6193,-0.15
6194,0
6195,0
6196,-0.5
6197,-0.8
6198,1.55
6199,-0.5
6200,1.5
6201,0
6202,-1.1
6203,1.55
6204,0.5
6205,0.15
6206,0.5
6207,0
6208,-0.5
6209,0.3
6210,1.55
6211,1.55
6212,-0.35
6213,-0.25
6214,-0.4
6215,-0.6
6216,-0.35
6217,-0.25
6218,-1
6219,0
6220,0
6221,0
6222,0.25
6223,1
6224,0
6225,-0.4
6226,0
6227,0
6228,0
6229,0.8
6230,1.35
6231,1.05
6232,0
6233,0
6234,-0.5
6235,0
6236,-0.65
6237,-0.4
6238,0
6239,-0.75
6240,-1.5
6241,0.5
6242,0
6243,0
6244,0.5
6245,0
6246,-0.25
6247,-0.8
6248,0.1
6249,0
6250,0
6251,0
6252,-0.35
6253,0
6254,0
6255,-1
6256,-0.3
6257,0
6258,0
6259,0
6260,-0.65
6261,0.25
6262,0
6263,0
6264,0
6265,-0.25
6266,-0.25
6267,-0.25
6268,0.75
6269,0.4
6270,-0.25
6271,0.25
6272,0
6273,0
6274,-1.5
6275,0
6276,0
6277,-1.4
6278,0
6279,0
6280,1.55
6281,0.6
6282,-0.25
6283,-0.6
6284,0.4
6285,1.15
6286,1.85
6287,0.9
6288,0
6289,-0.75
6290,-0.25
6291,0
6292,1.4
6293,-0.5
6294,0.5
6295,1.55
6296,0
6297,-1.55
6298,0.5
6299,0
6300,-1
6301,0
6302,-0.5
6303,-0.25
6304,0
6305,0
6306,-0.25
6307,0.5
6308,-0.5
6309,0
6310,-0.25
6311,0.1
6312,0.4
6313,-1
6314,-0.5
6315,0
6316,1.55
6317,0.1
6318,1.55
6319,1.95
6320,0
6321,0
6322,0
6323,0.4
6324,-0.5
6325,-1.25
6326,0
6327,0
6328,0.1
6329,-0.2
6330,0
6331,-0.45
6332,-0.5
6333,-1
6334,0
6335,-0.75
6336,0.4
6337,0
6338,0.6
6339,-0.5
6340,-1
6341,0.5
6342,0.8
6343,0
6344,0
6345,0.5
6346,-0.75
6347,0.5
6348,-1
6349,0.5
6350,0
6351,0
6352,0
6353,0.15
6354,1.25
6355,0.5
6356,-0.25
6357,-0.4
6358,-0.25
6359,-0.5
6360,-1.35
6361,1
6362,-0.25
6363,0.3
6364,0
6365,-0.35
6366,0.5
6367,0.75
6368,0.4
6369,0
6370,0.5
6371,-0.15
6372,-0.5
6373,-0.8
6374,1
6375,-0.8
6376,0.35
6377,0
6378,-0.75
6379,0.5
6380,0
6381,0.05
6382,-0.25
6383,-0.25
6384,-0.35
6385,-0.25
6386,0.1
6387,0.4
6388,-0.4
6389,0
6390,-0.55
6391,0
6392,0
6393,0.4
6394,1.3
6395,-0.5
6396,-0.75
6397,-1.75
6398,-0.25
6399,-1.25
6400,1
6401,0.5
6402,-0.75
6403,-0.9
6404,-0.75
6405,0
6406,-0.75
6407,0
6408,0.6
6409,0
6410,-0.75
6411,-0.75
6412,0
6413,0
6414,-0.75
6415,-0.3
6416,0
6417,0.1
6418,-0.5
6419,0.25
6420,-0.75
6421,-0.5
6422,-0.5
6423,0
6424,0.25
6425,-0.75
6426,0
6427,0.1
6428,1.35
6429,0.5
6430,-0.65
6431,-0.9
6432,0
6433,-1
6434,1.3
6435,0
6436,0
6437,0
6438,-0.25
6439,0
6440,0.5
6441,0
6442,0
6443,-0.35
6444,-0.25
6445,0
6446,-0.35
6447,1.3
6448,0
6449,0.6
6450,0
6451,1.3
6452,0.5
6453,1.3
6454,-0.25
6455,-0.5
6456,-0.35
6457,0.9
6458,0.1
6459,-0.25
6460,0.4
6461,0
6462,0.25
6463,0.4
6464,-0.75
6465,-0.25
6466,-0.5
6467,-2.85
6468,-0.75
6469,-1.75
6470,-1.75
6471,0.4
6472,-0.9
6473,-1.4
6474,0
6475,0.75
6476,0
6477,-0.5
6478,-0.1
6479,1.5
6480,-0.25
6481,-1.25
6482,-0.65
6483,-1.55
6484,1.3
6485,0
6486,-1.55
6487,1.3
6488,-0.65
6489,0.5
6490,0
6491,0.65
6492,1.1
6493,1.85
6494,0
6495,-1
6496,-0.15
6497,-0.25
6498,1.3
6499,-0.25
6500,0.25
6501,0
6502,0.6
6503,0
6504,-0.75
6505,0
6506,-0.25
6507,-0.75
6508,0.4
6509,-0.25
6510,0
6511,1.55
6512,0.75
6513,2.75
6514,-0.65
6515,0
6516,1.3
6517,1.3
6518,1.3
6519,0.5
6520,-0.65
6521,-0.75
6522,-0.9
6523,-1.25
6524,0
6525,-0.85
6526,0.25
6527,0.55
6528,0.8
6529,-0.65
6530,-0.15
6531,-0.6
6532,0.1
6533,-1.5
6534,-1.5
6535,-0.15
6536,0
6537,-0.75
6538,-0.65
6539,-0.6
6540,-0.75
6541,-0.25
6542,-0.25
6543,-1
6544,0.75
6545,-1.5
6546,0.55
6547,-0.65
6548,0.5
6549,0.25
6550,-0.75
6551,-0.25
6552,-0.65
6553,0.8
6554,-1
6555,0.25
6556,0.4
6557,0
6558,0.4
6559,0
6560,-1.35
6561,-0.6
6562,-0.25
6563,-0.9
6564,0.4
6565,-0.65
6566,0.1
6567,0.55
6568,0.25
6569,0
6570,0.65
6571,0
6572,0.4
6573,-1
6574,0
6575,-1.1
6576,-0.75
6577,-0.25
6578,0
6579,-1.5
6580,0
6581,-1.65
6582,0.5
6583,0.75
6584,0.25
6585,0.5
6586,-0.6
6587,0.8
6588,0.5
6589,0
6590,-0.65
6591,0
6592,-0.65
6593,0.5
6594,0.6
6595,-0.5
6596,-0.9
6597,-1
6598,-0.65
6599,-1.25
6600,-1.25
6601,0.75
6602,-0.9
6603,-0.9
6604,1.3
6605,0.4
6606,-1
6607,-0.5
6608,0.5
6609,0
6610,0.4
6611,-0.75
6612,0.1
6613,0
6614,-0.75
6615,0
6616,-0.5
6617,-0.4
6618,0.05
6619,-0.9
6620,0.6
6621,-1.75
6622,-0.5
6623,0.5
6624,-0.25
6625,0.6
6626,0.75
6627,-1.75
6628,0.4
6629,0.1
6630,-0.9
6631,0
6632,0
6633,0.1
6634,0.75
6635,0.75
6636,0.6
6637,1
6638,-0.25
6639,-0.4
6640,-0.4
6641,0
6642,-0.9
6643,-0.05
6644,0
6645,-0.4
6646,-0.35
6647,-0.8
6648,0.6
6649,0.15
6650,-0.15
6651,-0.9
6652,0
6653,0.75
6654,0
6655,0.25
6656,0
6657,1.3
6658,0
6659,0.75
6660,0
6661,-0.65
6662,0.65
6663,-0.1
6664,-0.75
6665,-0.75
6666,-0.65
6667,-0.65
6668,0
6669,0
6670,0.55
6671,0
6672,0
6673,0
6674,0
6675,0.55
6676,1.65
6677,-1.25
6678,1
6679,0.25
6680,-0.25
6681,0.6
6682,-1.25
6683,0
6684,-0.9
6685,-1.25
6686,-1
6687,-1
6688,0
6689,0
6690,0.35
6691,2.55
6692,0.75
6693,0.4
6694,0.6
6695,0
6696,0.9
6697,0
6698,-0.25
6699,0
6700,0.8
6701,-1.25
6702,0
6703,-0.75
6704,0.1
6705,0
6706,0.1
6707,0.75
6708,-0.65
6709,0
6710,0
6711,-0.35
6712,0
6713,-0.4
6714,2.3
6715,0.5
6716,-0.6
6717,-0.15
6718,-0.9
6719,0.1
6720,-0.4
6721,0.25
6722,-0.25
6723,-1
6724,0.4
6725,0.3
6726,0
6727,0.25
6728,0
6729,0.4
6730,-0.9
6731,0
6732,0
6733,-0.25
6734,-0.75
6735,-0.65
6736,0
6737,0
6738,0.25
6739,-0.75
6740,-0.9
6741,0.4
6742,-0.75
6743,-0.9
6744,0.4
6745,0
6746,-0.75
6747,0.5
6748,-0.9
6749,-1
6750,-0.8
6751,0
6752,0
6753,0.4
6754,0.6
6755,0.4
6756,-0.9
6757,-0.1
6758,0
6759,-0.5
6760,0.8
6761,1.55
6762,-0.2
6763,0.4
6764,0.4
6765,-1.75
6766,0
6767,0.55
6768,0
6769,-0.65
6770,0
6771,-0.9
6772,0.4
6773,0.15
6774,-0.25
6775,-0.65
6776,0.75
6777,0.5
6778,0
6779,0
6780,1.05
6781,0.25
6782,0.4
6783,0
6784,0
6785,-0.1
6786,-0.75
6787,0
6788,0.8
6789,0
6790,-0.75
6791,0
6792,-0.5
6793,0
6794,0.4
6795,0
6796,-0.6
6797,-0.3
6798,1.55
6799,0.4
6800,0.75
6801,-1
6802,0
6803,-0.75
6804,0
6805,0
6806,0
6807,-0.25
6808,-1
6809,-1.95
6810,0.55
6811,-1.25
6812,0.1
6813,-1.75
6814,-0.5
6815,0
6816,0.25
6817,1.3
6818,1
6819,0.1
6820,0.25
6821,0
6822,-0.35
6823,0
6824,0
6825,-0.75
6826,0.15
6827,0.5
6828,-1.9
6829,-0.9
6830,-1
6831,0.1
6832,0.25
6833,-0.65
6834,0
6835,-0.25
6836,2.3
6837,0
6838,0.8
6839,0
6840,-0.25
6841,0.25
6842,-0.5
6843,-0.75
6844,-0.85
6845,0
6846,-0.9
6847,0.5
6848,-0.65
6849,0
6850,-0.5
6851,-0.9
6852,0
6853,-0.65
6854,0.1
6855,-0.9
6856,-1
6857,-0.25
6858,0
6859,-0.1
6860,0.25
6861,0.5
6862,0.25
6863,0
6864,-0.75
6865,0
6866,-0.9
6867,-1.5
6868,-2.5
6869,0
6870,-0.95
6871,0
6872,-0.65
6873,-1.2
6874,-0.9
6875,0.5
6876,0
6877,0.25
6878,-0.25
6879,0.8
6880,0.1
6881,1.3
6882,-0.8
6883,-1
6884,-0.65
6885,-0.5
6886,0
6887,0
6888,0
6889,-0.5
6890,-1.25
6891,0.25
6892,0
6893,0.75
6894,-0.9
6895,1.55
6896,-0.9
6897,-1.55
6898,-0.25
6899,0
6900,0
6901,0.15
6902,0.75
6903,-0.5
6904,0.35
6905,0.15
6906,0.5
6907,-1.25
6908,0
6909,-1.5
6910,0.8
6911,-0.5
6912,0
6913,-0.9
6914,0.25
6915,0
6916,-1.5
6917,0
6918,0
6919,0.4
6920,0
6921,0
6922,-0.9
6923,-0.9
6924,1.55
6925,0.1
6926,0
6927,0
6928,0
6929,-2.6
6930,0
6931,0.6
6932,-0.25
6933,-0.4
6934,0
6935,-1
6936,0
6937,-0.25
6938,0
6939,-1
6940,-0.5
6941,-0.6
6942,-0.25
6943,-0.9
6944,-0.75
6945,1.55
6946,1.25
6947,0.1
6948,-1
6949,0
6950,0.55
6951,-0.25
6952,0.1
6953,1.55
6954,1.3
6955,0
6956,-0.9
6957,-0.75
6958,-0.65
6959,3.15
6960,0
6961,1.2
6962,-0.65
6963,-0.75
6964,0.75
6965,-0.9
6966,-1
6967,-0.9
6968,1.9
6969,0
6970,0
6971,3.45
6972,0
6973,0
6974,0.3
6975,-0.75
6976,0
6977,-0.5
6978,-0.35
6979,-0.5
6980,0.1
6981,-1.6
6982,-0.75
6983,-1.5
6984,-1
6985,-0.9
6986,-1.5
6987,1.3
6988,-2.25
6989,0
6990,-0.9
6991,0.75
6992,0.8
6993,-0.25
6994,-0.6
6995,-0.9
6996,-0.9
6997,-0.75
6998,-0.95
6999,-0.65
7000,0
7001,0.35
7002,1.3
7003,0.15
7004,-0.5
7005,0
7006,-0.9
7007,-0.45
7008,0.75
7009,-0.25
7010,-0.25
7011,-0.9
7012,-0.25
7013,-0.25
7014,0
7015,0.4
7016,-0.8
7017,-0.5
7018,1.55
7019,0.4
7020,-0.85
7021,0.75
7022,0.1
7023,0
7024,0.75
7025,1.3
7026,1.55
7027,-1
7028,0.1
7029,-2.25
7030,0
7031,-0.25
7032,0.25
7033,-0.9
7034,-1.25
7035,1.35
7036,0.75
7037,0
7038,-0.15
7039,0.5
7040,0.8
7041,0.1
7042,-0.65
7043,-0.5
7044,0
7045,-0.5
7046,-0.15
7047,-1
7048,0
7049,0
7050,-0.25
7051,0.5
7052,-0.4
7053,-0.5
7054,-1
7055,0
7056,1.3
7057,0
7058,0
7059,-0.25
7060,1.25
7061,0.05
7062,0.5
7063,0
7064,0
7065,1.45
7066,0
7067,-1.75
7068,-1
7069,0
7070,0
7071,-0.25
7072,1.3
7073,-1
7074,-0.1
7075,1.3
7076,-1.15
7077,-0.9
7078,0.1
7079,0
7080,0
7081,0
7082,-2.75
7083,-1
7084,-0.75
7085,0
7086,0.5
7087,0
7088,0
7089,1.2
7090,0
7091,-0.65
7092,0.75
7093,0.9
7094,1.35
7095,0.25
7096,0
7097,0
7098,0
7099,-2.4
7100,-1.25
7101,0.5
7102,0.25
7103,0
7104,-0.25
7105,-2.5
7106,0
7107,-1.5
7108,0
7109,0
7110,0
7111,0
7112,-2
7113,-1.25
7114,0.8
7115,0
7116,1.55
7117,-0.9
7118,1.3
7119,0
7120,-1.75
7121,0.8
7122,0
7123,-0.65
7124,-0.5
7125,0.5
7126,0.6
7127,0
7128,-0.5
7129,-0.1
7130,-0.5
7131,-1.75
7132,0.15
7133,-0.25
7134,-0.4
7135,0.5
7136,1.4
7137,0.6
7138,-0.65
7139,0
7140,0
7141,0.75
7142,2.9
7143,0
7144,0
7145,0.25
7146,-1
7147,0.25
7148,0.8
7149,0
7150,0.5
7151,0
7152,-0.35
7153,0
7154,-0.9
7155,-0.9
7156,-0.75
7157,-0.25
7158,0.1
7159,0
7160,-0.25
7161,0
7162,0.4
7163,0.25
7164,0.25
7165,0.25
7166,0
7167,-1.6
7168,0
7169,-0.75
7170,0
7171,0
7172,1.15
7173,-0.65
7174,0.9
7175,-0.9
7176,-1
7177,0
7178,0
7179,0
7180,0
7181,0.5
7182,-0.9
7183,-0.25
7184,1.3
7185,0
7186,-1.4
7187,-0.25
7188,0.1
7189,-0.5
7190,1.55
7191,0.4
7192,1.1
7193,0.1
7194,0
7195,0.25
7196,0.1
7197,0.8
7198,-0.65
7199,0
7200,-1.15
7201,-0.65
7202,0
7203,0.75
7204,0.75
7205,-1.25
7206,0.1
7207,-0.9
7208,1.7
7209,0.1
7210,0
7211,1.1
7212,-2
7213,0.1
7214,0
7215,1.75
7216,-0.75
7217,-0.25
7218,0.1
7219,0
7220,0.8
7221,-0.5
7222,1.75
7223,0
7224,-1.25
7225,0.1
7226,-0.9
7227,-0.9
7228,1.3
7229,-0.9
7230,-0.8
7231,0
7232,-0.9
7233,0.75
7234,-0.25
7235,-2.4
7236,1.7
7237,0
7238,-0.35
7239,0
7240,0.5
7241,0.1
7242,0
7243,-0.5
7244,-0.25
7245,0.75
7246,0.25
7247,0.1
7248,0
7249,0
7250,-0.25
7251,-0.65
7252,0.1
7253,-0.75
7254,0.1
7255,-2.8
7256,-0.9
7257,-0.65
7258,-0.9
7259,-0.5
7260,0
7261,0
7262,0
7263,0
7264,0
7265,0
7266,-0.9
7267,0
7268,-0.9
7269,-0.25
7270,0
7271,-0.95
7272,-0.9
7273,0.5
7274,0.75
7275,0.25
7276,0.4
7277,0.1
7278,-0.25
7279,0.1
7280,-0.65
7281,1.8
7282,0
7283,0.8
7284,-1.1
7285,1
7286,-0.65
7287,0
7288,-1
7289,-1.1
7290,0.1
7291,-0.25
7292,0.25
7293,0
7294,0.1
7295,-1
7296,-0.5
7297,-1.5
7298,-0.25
7299,-0.5
7300,0.8
7301,-2.1
7302,0.5
7303,0
7304,-1
7305,0.1
7306,0
7307,-0.1
7308,0
7309,-0.5
7310,0.6
7311,0
7312,0.5
7313,-0.5
7314,-0.9
7315,0.75
7316,-0.6
7317,0.25
7318,-1.5
7319,1
7320,-1.15
7321,-0.6
7322,0
7323,-0.85
7324,-0.35
7325,-0.65
7326,0
7327,0
7328,-1
7329,-0.6
7330,1
7331,0
7332,0.8
7333,1.55
7334,1
7335,-0.9
7336,-1.9
7337,0.5
7338,0
7339,-0.9
7340,-0.9
7341,0.4
7342,0
7343,0.55
7344,-0.4
7345,-0.9
7346,0.75
7347,0.5
7348,0
7349,0.5
7350,0.6
7351,0
7352,-1.9
7353,0.1
7354,-0.8
7355,1.35
7356,0.5
7357,1.3
7358,-0.9
7359,0.75
7360,-1.35
7361,0.1
7362,-0.75
7363,-0.75
7364,0.75
7365,1.3
7366,0.5
7367,0.1
7368,-0.9
7369,0
7370,-0.65
7371,-0.25
7372,0
7373,-0.25
7374,-0.65
7375,1.3
7376,0
7377,1.55
7378,0
7379,-0.65
7380,0
7381,0
7382,-0.1
7383,0
7384,-0.9
7385,0.65
7386,0.65
7387,0.4
7388,-0.4
7389,-0.9
7390,-0.65
7391,-1
7392,-0.75
7393,0.75
7394,2.35
7395,0
7396,0
7397,0
7398,-0.25
7399,0
7400,-0.9
7401,-2
7402,0
7403,-0.75
7404,0
7405,-1
7406,-0.9
7407,0
7408,0
7409,-0.2
7410,0.75
7411,0.8
7412,0
7413,0.85
7414,-0.25
7415,-0.4
7416,0.1
7417,0
7418,-0.9
7419,-1
7420,-0.75
7421,-1.9
7422,0
7423,0
7424,-0.65
7425,-1.9
7426,0
7427,0
7428,0
7429,0.5
7430,-0.9
7431,-0.9
7432,0.75
7433,0.75
7434,0
7435,-0.9
7436,-0.25
7437,0.1
7438,0
7439,0.5
7440,-0.05
7441,0.75
7442,-1.5
7443,0
7444,1.25
7445,-0.9
7446,0.15
7447,0.45
7448,1.6
7449,-0.9
7450,1
7451,0.5
7452,0
7453,0.1
7454,-0.75
7455,0
7456,0.1
7457,-0.9
7458,0.8
7459,-1
7460,-0.9
7461,0.75
7462,-1
7463,-1
7464,0
7465,0
7466,1.45
7467,0
7468,0
7469,0
7470,0.65
7471,0
7472,0
7473,-0.9
7474,-0.9
7475,-0.9
7476,-0.25
7477,1.8
7478,0.8
7479,1.55
7480,0.5
7481,-0.25
7482,-1.75
7483,0
7484,0
7485,-2.75
7486,1.4
7487,-0.25
7488,0
7489,0.75
7490,-0.1
7491,0
7492,0.75
7493,0
7494,-0.25
7495,-0.5
7496,-0.9
7497,-0.75
7498,1.6
7499,-0.75
7500,0
7501,-0.75
7502,0
7503,0
7504,0.75
7505,-0.5
7506,-0.25
7507,0.5
7508,0
7509,0
7510,0.5
7511,0.75
7512,-0.75
7513,2.4
7514,0
7515,-0.65
7516,0
7517,-0.2
7518,0.25
7519,-0.25
7520,0.25
7521,-0.75
7522,-0.75
7523,-0.9
7524,0.9
7525,0.8
7526,0
7527,0.75
7528,0.15
7529,0.05
7530,-0.65
7531,0.75
7532,0.25
7533,0.3
7534,-2.1
7535,0
7536,-1
7537,0.5
7538,-1
7539,-1
7540,0.1
7541,0.65
7542,0
7543,-0.15
7544,-0.5
7545,0
7546,0.75
7547,-0.9
7548,-0.9
7549,0
7550,0.5
7551,-1
7552,0
7553,0
7554,-0.85
7555,0.35
7556,1.4
7557,0
7558,-0.65
7559,-0.1
7560,0
7561,-0.9
7562,0.25
7563,0
7564,0
7565,0
7566,0
7567,-0.25
7568,0
7569,-0.25
7570,-0.9
7571,0
7572,-0.65
7573,-0.35
7574,-2.25
7575,0.1
7576,0.75
7577,1.75
7578,0.9
7579,0
7580,0
7581,-1.4
7582,0
7583,1.1
7584,2.3
7585,-0.9
7586,0.6
7587,0
7588,1
7589,-0.25
7590,-0.5
7591,-0.85
7592,0.1
7593,-2
7594,0.25
7595,0.1
7596,0
7597,0.8
7598,0.5
7599,-1.35
7600,0
7601,-0.15
7602,0
7603,-0.9
7604,-0.25
7605,0
7606,-0.9
7607,0.1
7608,0
7609,0.35
7610,0
7611,-2.7
7612,0
7613,-2
7614,0.75
7615,0
7616,0
7617,-0.8
7618,-1
7619,0.75
7620,0.5
7621,0
7622,0
7623,-0.5
7624,0
7625,-0.9
7626,-1.25
7627,-2
7628,0.1
7629,-0.9
7630,0
7631,1.65
7632,1.15
7633,0
7634,-0.4
7635,-1.15
7636,1.2
7637,0.25
7638,0
7639,0
7640,0
7641,-1.35
7642,0
7643,0
7644,1.3
7645,0
7646,-0.75
7647,-1.75
7648,1.4
7649,-0.9
7650,-0.9
7651,-1
7652,0.75
7653,0.5
7654,-0.9
7655,-0.25
7656,-0.5
7657,-0.75
7658,0.1
7659,0.5
7660,-0.9
7661,-0.75
7662,0.5
7663,-0.5
7664,0.5
7665,1.3
7666,0
7667,-0.6
7668,0.8
7669,-0.6
7670,1.55
7671,0.1
7672,-1.5
7673,-0.9
7674,0.75
7675,0.6
7676,1.35
7677,0.75
7678,0.8
7679,0
7680,0
7681,2.35
7682,2.4
7683,-0.9
7684,-0.05
7685,0
7686,0
7687,1
7688,0
7689,-1
7690,-0.9
7691,0.3
7692,1.3
7693,0.1
7694,0
7695,-1
7696,-0.8
7697,-0.25
7698,-2
7699,-0.25
7700,0
7701,0
7702,0
7703,0
7704,0.15
7705,0
7706,0
7707,-0.9
7708,-0.6
7709,-1.35
7710,0
7711,0.75
7712,1.3
7713,-1
7714,1.55
7715,-0.5
7716,0
7717,0
7718,-3
7719,0
7720,-1
7721,-0.75
7722,0.15
7723,0
7724,-0.75
7725,0
7726,0
7727,-2
7728,0.4
7729,0
7730,-0.75
7731,0
7732,0.4
7733,-0.4
7734,0.75
7735,-0.6
7736,0
7737,0.1
7738,-0.25
7739,0.25
7740,-0.9
7741,2.8
7742,0
7743,0
7744,0.1
7745,1.55
7746,0
7747,-0.5
7748,0.5
7749,-0.75
7750,0.8
7751,0.1
7752,-1
7753,0
7754,-0.85
7755,0
7756,-0.9
7757,-0.85
7758,0
7759,0.1
7760,1.4
7761,0.4
7762,-1
7763,0
7764,0.8
7765,-2.35
7766,0.8
7767,1.3
7768,-0.9
7769,0.75
7770,-0.9
7771,0.1
7772,-0.9
7773,0.8
7774,0.8
7775,0
7776,0
7777,0.8
7778,0.8
7779,0.1
7780,0
7781,0.8
7782,-0.5
7783,0.25
7784,-0.85
7785,-1.5
