,x
684,-0.1
685,-0.75
686,0
687,0
688,0
689,0
690,-1.1
691,0
692,0
693,0
694,0
695,-0.95
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,-1
706,0
707,0
708,0
709,0
710,-0.25
711,0
712,0
713,0.75
714,0
715,0
716,0
717,0.35
718,0
719,-0.25
720,-0.6
721,0
722,0
723,-0.25
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0.65
732,0
733,0.5
734,-0.25
735,0
736,0
737,-0.25
738,0
739,0
740,0
741,0
742,0.8
743,0
744,0
745,0
746,-1
747,0.45
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0.15
757,0
758,0
759,-1.25
760,-1.25
761,0
762,0
763,0.8
764,0
765,0
766,0
767,0.8
768,0
769,0
770,0
771,0
772,-1.25
773,-0.25
774,-0.5
775,0
776,0.45
777,0
778,0
779,0
780,0
781,-0.4
782,0
783,0
784,0.5
785,-0.5
786,-0.25
787,0
788,0.8
789,-1.25
790,-0.25
791,0
792,0
793,-1
794,0
795,0
796,0
797,0
798,0
799,-0.25
800,0
801,0.6
802,-1.1
803,0
804,0
805,0
806,0.25
807,0
808,-1
809,0
810,0
811,0
812,0
813,0.2
814,0
815,1.1
816,0
817,0
818,0
819,0
820,0.75
821,0
822,0
823,2.55
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,-0.25
832,0.5
833,-0.5
834,0.5
835,0.25
836,0
837,0
838,0
839,0
840,0
841,0
842,0.25
843,0
844,0
845,-0.5
846,0
847,0
848,0.5
849,0
850,0
851,0
852,-0.1
853,0
854,0
855,0
856,0.25
857,-0.5
858,0
859,0.5
860,-0.75
861,-2.05
862,0
863,0
864,0
865,0
866,-0.25
867,0.35
868,0
869,0
870,0
871,0
872,-0.15
873,-0.25
874,0
875,0
876,0
877,0
878,0.05
879,0
880,0
881,-0.25
882,0
883,-0.6
884,0
885,0
886,0.25
887,0.25
888,0
889,0
890,0
891,0
892,-0.75
893,0
894,0
895,-0.75
896,0
897,-0.25
898,0
899,0
900,0
901,0
902,0
903,0.5
904,0
905,0
906,0
907,0
908,-1
909,0
910,0
911,0
912,0.8
913,0
914,0
915,0
916,0
917,0
918,0
919,0.65
920,0
921,-1.25
922,-0.75
923,0
924,0
925,-1.95
926,0
927,0
928,0
929,0.8
930,0
931,0
932,0
933,0
934,-0.75
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,1.85
947,0
948,0
949,0.5
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0.65
960,0
961,-0.75
962,0
963,-1
964,0
965,0
966,-0.75
967,0.15
968,0
969,0.5
970,0.5
971,-0.5
972,0
973,0
974,-0.35
975,0
976,0
977,0
978,0
979,0
980,-0.75
981,0
982,0
983,0
984,0
985,0
986,0.4
987,0.75
988,0
989,0
990,0.75
991,0
992,0
993,0
994,-1
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,-0.9
1003,0
1004,0
1005,0
1006,0.55
1007,0
1008,0
1009,0
1010,-0.2
1011,0
1012,0
1013,0
1014,0.8
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0.5
1025,0
1026,-1.5
1027,0
1028,0
1029,0
1030,0.9
1031,0
1032,0
1033,0.25
1034,1.15
1035,0
1036,0
1037,0.6
1038,-0.5
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,-1
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,-0.75
1057,0
1058,0
1059,0
1060,0
1061,-0.25
1062,0
1063,0
1064,-0.5
1065,0
1066,0
1067,-0.6
1068,0
1069,0
1070,0
1071,0
1072,1.25
1073,0
1074,1.35
1075,-0.75
1076,0.8
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,1.1
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,-0.5
1104,0
1105,0
1106,-0.75
1107,-0.6
1108,0
1109,0
1110,0.5
1111,0
1112,-0.2
1113,0
1114,-0.5
1115,0.6
1116,0
1117,2.4
1118,0
1119,0
1120,0
1121,-0.1
1122,0
1123,0
1124,-2.05
1125,0
1126,0
1127,0
1128,0.75
1129,0
1130,-0.4
1131,0
1132,0
1133,-1.6
1134,0.75
1135,-0.25
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0.5
1142,0
1143,0.8
1144,0
1145,-1
1146,0.55
1147,-0.75
1148,0
1149,0
1150,0.75
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,-0.3
1160,0
1161,0
