1,0
2,0
3,0
4,0.6
5,-0.45
6,-0.25
7,-0.25
8,-0.25
9,0
10,-0.55
11,-0.25
12,1.75
13,0
14,0
15,-0.25
16,0
17,-0.25
18,-1
19,0
20,0.5
21,-0.25
22,0
23,0
24,-0.25
25,-1.2
26,1.55
27,-0.25
28,-2.25
29,-0.55
30,-0.25
31,-0.25
32,-0.25
33,0
34,-0.25
35,-2
36,1.55
37,0
38,1.3
39,-0.25
40,-0.75
41,-0.25
42,0
43,-0.25
44,-2.7
45,-0.25
46,-0.25
47,-1.2
48,0
49,-0.25
50,-0.25
51,-1.65
52,0.25
53,-0.25
54,-0.75
55,-0.85
56,-0.25
57,-0.6
58,-0.25
59,0
60,-0.25
61,0
62,0
63,-0.25
64,0
65,-1.65
66,0
67,-0.4
68,1
69,-0.75
70,-0.25
71,0.75
72,0.9
73,-1.65
74,-0.25
75,-1.2
76,-1.5
77,-0.25
78,-0.25
79,-0.25
80,0.85
81,-1
82,-0.25
83,-1
84,0
85,-1
86,-1
87,-2.25
88,0
89,0.5
90,-0.5
91,1
92,-0.1
93,0
94,1.55
95,-1.5
96,-0.25
97,-0.25
98,-0.5
99,-0.25
100,-0.25
101,-0.2
102,0
103,-1.2
104,0.25
105,0.35
106,-1
107,-0.25
108,-0.6
109,0
110,-0.25
111,-1.25
112,0
113,-1.5
114,-0.25
115,-0.75
116,-1.2
117,0
118,-1.35
119,0.85
120,-0.25
121,0.55
122,0
123,-2
124,-0.25
125,1.05
126,0
127,-0.25
128,-1
129,0.3
130,-0.25
131,-1.2
132,0.35
133,-0.5
134,-0.5
135,0
136,-0.4
137,0
138,0.8
139,-0.25
140,1.4
141,-1.2
142,-2.35
143,0.25
144,-0.75
145,0.35
146,-2.55
147,0
148,-0.25
149,-0.25
150,-0.5
151,0
152,0
153,0
154,0
155,0
156,-0.25
157,0.35
158,-0.75
159,0
160,-0.25
161,-1.9
162,-0.25
163,0
164,-0.35
165,0.1
166,0
167,1.55
168,-2.2
169,0
170,0
171,-0.25
172,0
173,-0.45
174,1.5
175,1.75
176,0
177,0
178,-1.35
179,-0.25
180,-0.25
181,-1.2
182,-0.8
183,0
184,-0.25
185,-0.25
186,0
187,-0.25
188,0
